"","class","SOD1_N","APP_N","pPKCG_N","pERK_N","pCAMKII_N","CaNA_N","Tau_N","pP70S6_N","pNUMB_N","BRAF_N","Ubiquitin_N","AKT_N","S6_N","AcetylH3K9_N"
"90","c-CS-m",0.260913096,0.352823388,1.843738809,0.492591109,2.610132159,0.790975289,0.100155187,0.485182219,0.334601522,0.317180617,0.856870001,0.540448538,0.264653217,0.075564044
"91","c-CS-m",0.312189936,0.416991495,2.533202261,0.616672573,3.522324592,1.633226837,0.202457606,0.258858965,0.377126152,0.303951099,1.078348489,0.719613749,0.620987958,0.351830917
"94","c-CS-m",0.280583614,0.371492705,2.47850234,0.455555556,3.524130191,1.606365055,0.181154446,0.383950617,0.333333333,0.295510662,1.021840874,0.61043771,0.578658346,0.301778471
"97","c-CS-m",0.264814815,0.333190883,2.464674978,0.367094017,3.076353276,1.593664236,0.171489061,0.489031339,0.31994302,0.239031339,1.026581981,0.515954416,0.526307535,0.273190622
"99","c-CS-m",0.276089235,0.357239108,2.506235783,0.391076508,3.285821231,1.540591419,0.179935681,0.502620153,0.351100464,0.3031891,1.042513138,0.540200629,0.51235391,0.294297592
"102","c-CS-m",0.273840317,0.345576824,2.371088229,0.348853251,2.909812037,1.370280638,0.173934989,0.581996896,0.335575099,0.244697362,1.049666869,0.481979652,0.475065617,0.273773471
"103","c-CS-m",0.261824324,0.319069069,2.243009201,0.298798799,2.310435435,1.153526971,0.175717121,0.575075075,0.320945946,0.226539039,1.042215407,0.420232733,0.406458596,0.221360274
"104","c-CS-m",0.267065644,0.315129979,2.202440775,0.297737049,2.377033851,1.14626705,0.177853553,0.596970264,0.316813166,0.213390686,1.051687006,0.444361324,0.410624551,0.208542714
"105","c-CS-m",0.249394222,0.315191053,2.196215322,0.338676608,2.318732526,1.060260886,0.175638435,0.581733458,0.313699907,0.207642125,1.062465552,0.422367195,0.413558699,0.239941209
"108","c-CS-m",0.317797218,0.402552703,0.931034483,0.683493475,2.451168794,1.670120215,0.19266055,0.154166069,0.423203786,0.346192457,1.147975324,0.755628854,0.574106295,0.124011389
"109","c-CS-m",0.298439532,0.374837451,0.974851025,0.677828349,2.085013004,1.576911423,0.184021816,0.164824447,0.40263329,0.330136541,1.18977881,0.673764629,0.542167458,0.123522876
"110","c-CS-m",0.303361484,0.375393277,0.965024331,0.651101176,2.151515152,1.558191403,0.180048662,0.150024839,0.387315781,0.313959265,1.166768045,0.685875145,0.541768045,0.117193836
"111","c-CS-m",0.309572301,0.384080109,0.951175407,0.655974202,2.200610998,1.585392807,0.178018887,0.160386965,0.399015614,0.346401901,1.143962226,0.700610998,0.526321077,0.118645771
"114","c-CS-m",0.327321725,0.387230514,0.97320021,0.554104478,2.336442786,1.571466106,0.169600631,0.175373134,0.42371476,0.341003317,1.204414083,0.672885572,0.511297951,0.103389385
"115","c-CS-m",0.312692035,0.349799102,0.984117097,0.481919168,1.912313874,1.459669885,0.169884771,0.18718979,0.371070669,0.28882061,1.220959203,0.525407705,0.474462784,0.095608845
"116","c-CS-m",0.333087874,0.367206676,0.992745624,0.489690722,2.02233677,1.498028702,0.175524365,0.20054001,0.393225331,0.32425135,1.213688693,0.56185567,0.491089733,0.104557641
"117","c-CS-m",0.340184995,0.386947585,1.008183569,0.508735868,2.174203494,1.500320924,0.178273427,0.204265159,0.406217883,0.33299075,1.235558408,0.614594039,0.476091142,0.108793325
"118","c-CS-m",0.363176681,0.436942296,1.023285351,0.533016062,1.889054134,1.455546147,0.164479255,0.220107079,0.425044616,0.344140393,1.313928874,0.603212374,0.437341236,0.128704488
"119","c-CS-m",0.341179807,0.406409529,1.004824837,0.488939308,1.756664776,1.405496119,0.168239983,0.219795803,0.380601248,0.32387975,1.278162366,0.562677255,0.471365639,0.093350115
"120","c-CS-m",0.347788378,0.431627638,1.015625,0.510841284,1.805145996,1.423587329,0.175513699,0.213067361,0.389129806,0.378722174,1.278253425,0.611448395,0.452696918,0.09182363
"121","c-CS-m",0.33079096,0.442749529,2.407528642,1.064595104,4.097740113,1.620141162,0.273220131,0.345856874,0.405461394,0.642843691,1.268975041,0.771092279,0.778590426,0.267747545
"122","c-CS-m",0.330781011,0.44754977,2.339442853,1.065084227,3.837480858,1.633793283,0.277583963,0.333843798,0.406967841,0.632656968,1.279822963,0.7768951,0.787034626,0.27347045
"123","c-CS-m",0.335041762,0.457099468,2.320365535,0.967539863,3.925398633,1.626736292,0.271018277,0.33143508,0.418280182,0.637718299,1.395039164,0.773063781,0.780678851,0.268825065
"124","c-CS-m",0.322812991,0.42234154,2.509699708,0.856207438,4.027894185,1.676654265,0.250265745,0.513750655,0.389863803,0.586694605,1.289131012,0.692640126,0.654398087,0.274515015
"125","c-CS-m",0.324585102,0.416698829,2.38891097,0.825807282,3.816673099,1.642885533,0.263447271,0.455679918,0.394699601,0.598481925,1.286830949,0.680689566,0.683028617,0.274112348
"126","c-CS-m",0.324908807,0.435904117,2.495397765,0.823736321,3.855263158,1.600065746,0.235700197,0.472642001,0.396560709,0.606956748,1.316831032,0.702318916,0.677120316,0.266469428
"128","c-CS-m",0.293022528,0.387046308,2.445673445,0.716051314,3.526595745,1.4021101,0.229898749,0.559292866,0.360607009,0.557259074,1.310388837,0.603254068,0.596273292,0.248957713
"129","c-CS-m",0.285300838,0.378827113,2.485124883,0.713175933,3.377303884,1.545307305,0.216435087,0.550799695,0.349276466,0.568316832,1.310970932,0.599543031,0.593470292,0.2457591
"132","c-CS-m",0.303987047,0.376846792,2.446813496,0.728799838,3.073669298,1.579311153,0.203608247,0.637522769,0.356203198,0.569925116,1.17373477,0.579032584,0.589034677,0.227975633
"134","c-CS-m",0.31896117,0.590015129,2.61159702,0.660363086,3.075895108,1.529964367,0.199060577,0.669188099,0.380231972,0.512859304,1.227243278,0.567070096,0.564949789,0.214447684
"135","c-CS-m",0.31033648,0.398450738,2.519974227,0.687000726,2.932703946,1.553157216,0.188305412,0.674412975,0.359719196,0.544662309,1.174774485,0.535221496,0.567976804,0.214722938
"137","c-CS-m",0.371561927,0.483580597,1.644304743,1.197699617,3.979329888,1.449597749,0.204510485,0.261626938,0.414485748,0.720703451,1.180243549,0.839223204,0.592034114,0.197432628
"142","c-CS-m",0.311093355,0.402050872,1.978304509,0.802770009,5.05779731,1.599830142,0.196571958,0.459581835,0.383007058,0.619256892,1.1571958,0.653216141,0.477995676,0.174722051
"143","c-CS-m",0.313790806,0.411725516,2.016815267,0.828514324,5.048500999,1.537384639,0.199202252,0.413057961,0.379613591,0.579746835,1.179727827,0.658227848,0.486782418,0.172532457
"146","c-CS-m",0.320270752,0.401318133,1.950326539,0.850374065,4.88956181,1.568771027,0.194339996,0.508906306,0.365336658,0.618810118,1.234217297,0.627182045,0.466554522,0.172075994
"148","c-CS-m",0.319736842,0.38377193,1.920052945,0.74627193,4.653947368,1.430840503,0.178027796,0.518421053,0.346710526,0.598903509,1.231369954,0.604605263,0.401588352,0.146657842
"152","c-SC-m",0.553068212,0.356333948,1.588141633,0.397945747,5.354227021,0.982182121,0.139661839,0.376876481,0.303792468,0.263760864,1.402077489,0.649855149,0.279551141,0.074986731
"153","c-SC-m",0.567815149,0.367240908,1.612806055,0.401832103,5.538692918,0.990036302,0.141422723,0.388159694,0.320617993,0.265654908,1.396153549,0.697839759,0.270950799,0.07878273
"154","c-SC-m",0.542926239,0.367593712,1.603997683,0.39436863,5.23838314,1.028679027,0.152954809,0.439454137,0.32682674,0.286577993,1.464561607,0.65607186,0.258594052,0.07387022
"156","c-SC-m",0.516335577,0.351009686,1.607108082,0.370382532,5.105073059,1.051022395,0.149367089,0.380889837,0.30865211,0.26153341,1.437000974,0.642094894,0.275754625,0.072833496
"158","c-SC-m",0.544782251,0.369556286,1.504201681,0.399958915,5.088537387,1.04164607,0.137172516,0.444741167,0.335661463,0.334634347,1.446984676,0.666187346,0.241596639,0.069822046
"162","c-SC-m",0.586618257,0.403786307,1.53499349,0.418827801,5.003371369,1.127766927,0.153808594,0.484180498,0.367219917,0.325466805,1.482259115,0.676348548,0.239257813,0.06266276
"164","c-SC-m",0.636394558,0.442176871,1.470780548,0.460204082,5.101360544,1.072537801,0.159991827,0.56292517,0.402380952,0.37755102,1.457294647,0.764285714,0.226604005,0.055986923
"165","c-SC-m",0.606594842,0.432908913,1.497613613,0.425399935,4.945478289,1.096908072,0.147956007,0.526934378,0.410708456,0.367613451,1.469184478,0.685602351,0.230753268,0.06017846
"166","c-SC-m",0.787429669,0.336215178,1.965960403,0.390284068,6.65129683,0.927144842,0.193035776,0.429943735,0.322080417,0.2245094,1.473080931,0.719226019,0.402570337,0.203021883
"167","c-SC-m",0.797815738,0.345841501,1.886501517,0.409549146,6.763511621,0.891220088,0.191776205,0.440352842,0.321338561,0.23116774,1.42256488,0.71408569,0.383215369,0.206100438
"170","c-SC-m",0.759645464,0.376259993,1.91191312,0.410149461,6.477407021,0.947345327,0.204695042,0.453249913,0.317518248,0.240528328,1.472356297,0.681091415,0.382294866,0.196467749
"176","c-SC-m",0.684301607,0.354017305,1.869550233,0.383189122,5.705067985,1.041357918,0.208857488,0.463535229,0.35105068,0.257849197,1.490608306,0.658343634,0.334137515,0.17198001
"177","c-SC-m",0.693403298,0.389555222,1.781244758,0.38005997,5.701649175,0.983727562,0.209360845,0.457021489,0.33808096,0.275612194,1.416373092,0.660669665,0.327965107,0.164066432
"178","c-SC-m",0.741875,0.38625,1.781116842,0.4571875,5.3215625,1.049338417,0.177394035,0.52375,0.370625,0.2990625,1.478806907,0.69625,0.305449652,0.145548329
"180","c-SC-m",0.760742188,0.387044271,1.719309742,0.416666667,5.600260417,1.01310616,0.195063346,0.539388021,0.372070313,0.327473958,1.417212757,0.701822917,0.292704238,0.142857143
"183","c-SC-m",0.783405359,0.307260156,1.636189814,0.320829732,5.227917027,0.886551944,0.180659366,0.273638721,0.311322385,0.158513397,1.540703401,0.739152982,0.395793499,0.145779014
"185","c-SC-m",0.644882321,0.289764641,1.457614035,0.294362343,4.827586207,0.998666667,0.158035088,0.27454844,0.278927203,0.160262726,1.332,0.658675424,0.346315789,0.126877193
"186","c-SC-m",0.648767123,0.283616438,1.501991166,0.298082192,4.934465753,0.988053001,0.16602708,0.271452055,0.280986301,0.164164384,1.386503512,0.652931507,0.338715517,0.135616538
"188","c-SC-m",0.549803922,0.267843137,1.290486565,0.26130719,4.297647059,0.981299927,0.149055919,0.287712418,0.263006536,0.160130719,1.294480755,0.588627451,0.286310821,0.123910675
"192","c-SC-m",0.504606099,0.267630241,1.186435015,0.27525413,4.087833545,0.994431451,0.15168727,0.29431385,0.272236341,0.164072427,1.273749861,0.601493011,0.284998329,0.109811783
"193","c-SC-m",0.401888604,0.235595391,1.083421053,0.21190781,3.085787452,0.872894737,0.150789474,0.272887324,0.247119078,0.146286812,1.204078947,0.510883483,0.247236842,0.103421053
"194","c-SC-m",0.435135602,0.242356193,1.080094538,0.243910865,3.505614096,0.848214286,0.147321429,0.293314908,0.258075661,0.143893591,1.20575105,0.548281223,0.259847689,0.104385504
"195","c-SC-m",0.489200234,0.278264254,1.09260511,0.277096711,3.755399883,0.879005002,0.147221847,0.326911851,0.293053123,0.171239541,1.218737326,0.619186612,0.25510342,0.105718535
"198","c-SC-m",0.795855503,0.329459535,1.814379783,0.401008121,5.097871745,0.895977932,0.236785905,0.456174741,0.321618594,0.263231588,1.419113721,0.659059087,0.352820787,0.297027941
"199","c-SC-m",0.776059764,0.317060459,1.868629121,0.383599722,4.634989576,0.94684345,0.238778737,0.474635163,0.321577484,0.278839472,1.39326116,0.599895761,0.350322345,0.329765235
"203","c-SC-m",0.664472372,0.272292041,1.945565542,0.331139038,4.246758428,1.081227743,0.268950314,0.40095751,0.289846399,0.260722122,1.412921825,0.553361261,0.343394947,0.341529591
"209","c-SC-m",0.700761035,0.283105023,1.947251114,0.309893455,3.749162861,1.175829619,0.303368004,0.485540335,0.301674277,0.317808219,1.486627043,0.589041096,0.317483903,0.31773155
"210","c-SC-m",0.738286067,0.299630086,1.871221138,0.313810111,3.852034525,1.126874554,0.263032611,0.432490752,0.301171393,0.386868064,1.488217091,0.585080148,0.297310164,0.288978815
"211","c-SC-m",0.623618383,0.312390925,1.896199132,0.337405468,5.185282141,0.955277835,0.174757282,0.413612565,0.29290285,0.222076789,1.47397232,0.593659104,0.330820078,0.230840735
"215","c-SC-m",0.659964093,0.332495512,1.854941416,0.347576302,4.897307002,1.036933265,0.177661742,0.411849192,0.303590664,0.244883303,1.54623026,0.560143627,0.325012736,0.221981661
"218","c-SC-m",0.554902372,0.346840227,1.962062425,0.311988243,4.32878438,1.115019831,0.193136748,0.410665547,0.314507663,0.252991812,1.608380755,0.541465463,0.318675634,0.20451802
"219","c-SC-m",0.539149888,0.306080944,1.952625278,0.285946715,4.139109213,1.092526082,0.19257739,0.390278625,0.287573724,0.246898515,1.634000342,0.515558267,0.325295023,0.213442791
"221","c-SC-m",0.681861349,0.396961064,1.988891357,0.416904084,4.654004432,1.1317485,0.199955565,0.52073441,0.381766382,0.333966445,1.740724283,0.640709085,0.280826483,0.212397245
"223","c-SC-m",0.710035842,0.392473118,1.98989899,0.369175627,4.501075269,1.170413816,0.230694037,0.513620072,0.398924731,0.376702509,1.715868361,0.620430108,0.245356794,0.189638319
"224","c-SC-m",0.68212824,0.363915416,1.930578512,0.350272851,4.316507503,1.196363636,0.212231405,0.466234652,0.357435198,0.325034106,1.732892562,0.633015007,0.26677686,0.20661157
"227","c-SC-m",0.654465593,0.414235837,1.8210267,0.399707174,6.25329429,0.980757707,0.177841401,0.369185719,0.346210159,0.212749183,1.362341035,0.687239554,0.457620348,0.171183168
"228","c-SC-m",0.695777241,0.422621102,1.81346977,0.39512139,6.306869175,1.065877475,0.18452381,0.385686342,0.344379243,0.21712116,1.358212948,0.710965366,0.491439272,0.169007491
"229","c-SC-m",0.628233231,0.426859565,1.836179474,0.392517902,6.027327196,0.977482002,0.182990122,0.40450095,0.367090457,0.234107847,1.38104805,0.677480637,0.364892014,0.154947263
"231","c-SC-m",0.60049903,0.394649293,1.727147292,0.372331577,5.799972276,1.104691273,0.175491549,0.336706404,0.350013862,0.204879401,1.39625733,0.646382035,0.416005519,0.159968955
"232","c-SC-m",0.613996254,0.409160565,1.809272107,0.385663204,5.74816959,0.99922916,0.172447968,0.41494977,0.37067938,0.220330325,1.386961788,0.616890856,0.32000881,0.14436736
"236","c-SC-m",0.522056003,0.379363253,1.807298246,0.370924434,4.782508631,1.070175439,0.173333333,0.358074415,0.34867664,0.209819716,1.421192982,0.529535865,0.33922807,0.169122807
"237","c-SC-m",0.504874391,0.368391451,1.702402957,0.343457068,4.794338208,1.109910422,0.170482013,0.336707912,0.318897638,0.214660667,1.365846723,0.522872141,0.352907721,0.143182141
"238","c-SC-m",0.53217223,0.406386067,1.745087531,0.349782293,4.693517175,1.030546624,0.157377635,0.411707789,0.369617804,0.258587325,1.372811718,0.597484277,0.302608074,0.136834584
"239","c-SC-m",0.515480591,0.382393715,1.758247701,0.347735675,4.547597043,1.049936903,0.164052641,0.340110906,0.337569316,0.237985213,1.378042185,0.572550832,0.311880296,0.143500992
"241","c-SC-m",0.473347002,0.355074321,1.747689528,0.378908252,5.534341363,0.643388229,0.169897853,0.505894413,0.387749872,0.244874423,1.553748871,0.682726807,0.213119311,0.199013272
"245","c-SC-m",0.45433145,0.331607031,1.641044301,0.351537979,4.904268675,0.627581188,0.191667425,0.485561833,0.389516635,0.230225989,1.360502138,0.599026993,0.236514145,0.203766033
"246","c-SC-m",0.455103359,0.342054264,1.588160175,0.359334625,5.082848837,0.802243911,0.184529782,0.465439276,0.381621447,0.240310078,1.264617349,0.622416021,0.262701815,0.202681748
"247","c-SC-m",0.446024942,0.340802806,1.603141994,0.350545596,4.522603274,0.720483384,0.1881571,0.537607171,0.410756041,0.249610288,1.505861027,0.608534684,0.191661631,0.191903323
"248","c-SC-m",0.454977241,0.367108648,1.536693404,0.346131011,4.557094795,0.756734108,0.1795762,0.507619236,0.392242232,0.248565209,1.345863762,0.603601821,0.212019634,0.183407159
"249","c-SC-m",0.429764912,0.340198174,1.495246119,0.354769769,4.445696522,0.801179444,0.182332411,0.477559744,0.373809986,0.244802798,1.27259598,0.56440645,0.242628475,0.180647491
"250","c-SC-m",0.407319186,0.313122564,1.527523624,0.319402339,3.89822434,0.643317834,0.207139643,0.520138588,0.399307059,0.291468168,1.500824959,0.483542659,0.154942253,0.191540423
"252","c-SC-m",0.419879652,0.330733229,1.43497691,0.315132605,3.959438378,0.778489498,0.199165798,0.497214174,0.375975039,0.248495654,1.294503203,0.533541342,0.228362878,0.170564576
"255","c-SC-m",0.430387409,0.358353511,1.388622754,0.295096852,3.400121065,0.806986028,0.19740519,0.536924939,0.411924939,0.251513317,1.321556886,0.577784504,0.209181637,0.172055888
"257","c-SC-m",0.673008791,0.424091327,1.451107584,0.376590999,4.503083585,0.991166931,0.16058243,0.377509513,0.338407033,0.267418974,1.242426334,0.726413856,0.295562763,0.106203851
"258","c-SC-m",0.620501774,0.419285352,1.412536944,0.364546376,4.446908262,0.995876005,0.167777854,0.347820578,0.310314242,0.258109478,1.280912778,0.677521541,0.299127088,0.101450271
"259","c-SC-m",0.568148981,0.422379194,1.368601607,0.361855836,4.091025847,0.991694502,0.166561343,0.399100979,0.315620485,0.302135174,1.121513045,0.668646653,0.269928681,0.090638259
"260","c-SC-m",0.61908555,0.413414051,1.350967513,0.358929425,4.05751155,0.987040653,0.165364814,0.391906962,0.317508364,0.263979608,1.161370495,0.653815517,0.260074561,0.095242322
"261","c-SC-m",0.566671877,0.40503361,1.332384342,0.347506644,4.051117711,0.983807829,0.171797153,0.369391902,0.307800531,0.296701579,1.152580071,0.649835861,0.266903915,0.093238434
"268","c-SC-m",0.543225806,0.429354839,1.102196245,0.364516129,3.155483871,0.890187744,0.168614949,0.549354839,0.379677419,0.302580645,1.076691463,0.651935484,0.226354942,0.073680482
"269","c-SC-m",0.527614934,0.410058624,1.090940585,0.342486887,2.932428263,0.889485536,0.156591027,0.534094415,0.378278309,0.291885221,1.114498528,0.684048133,0.218257405,0.076043651
"271","c-SC-m",0.693723962,0.371052278,1.933481323,0.355059804,5.179948932,1.061007348,0.180266381,0.462169063,0.323478027,0.272275232,1.330296999,0.768310711,0.354715248,0.107700551
"272","c-SC-m",0.711638049,0.368629054,1.870624518,0.370264377,5.318615427,1.084656901,0.174942174,0.447942219,0.326792041,0.275415645,1.31842714,0.744480785,0.352351581,0.105936777
"274","c-SC-m",0.666117879,0.349687191,1.778264955,0.369608166,4.889529141,1.145109093,0.172982566,0.444682252,0.316924597,0.293546263,1.376761666,0.714520909,0.321119115,0.10272471
"277","c-SC-m",0.624296728,0.31756616,1.780599838,0.304855178,4.611585747,0.997838422,0.192785734,0.490935612,0.309439467,0.298812253,1.363009997,0.686392999,0.314509592,0.103620643
"278","c-SC-m",0.64032639,0.326819841,1.805166553,0.303414215,4.765943741,0.977702243,0.192522094,0.438264977,0.31801589,0.300837449,1.388443236,0.712690573,0.318558804,0.101971448
"280","c-SC-m",0.688063934,0.367362722,1.732907459,0.295436968,4.512761021,1.094440608,0.177313536,0.47744264,0.344676463,0.318381026,1.431629834,0.729827275,0.303522099,0.098756906
"282","c-SC-m",0.596060373,0.332054234,1.684130214,0.305960604,4.521105142,1.061207189,0.15089861,0.444614991,0.355845485,0.305193144,1.435062733,0.730110003,0.295015259,0.090539166
"283","c-SC-m",0.67367157,0.293905734,1.815405652,0.255178625,4.364455119,1.144940747,0.211030082,0.478534974,0.313719604,0.339237466,1.502278943,0.73521465,0.320875114,0.092980857
"284","c-SC-m",0.68547913,0.32069371,1.754610545,0.257789536,4.345091123,1.091343025,0.201562161,0.447971781,0.300999412,0.30893592,1.434150575,0.782186949,0.303970493,0.091126058
"286","c-SC-m",0.737016837,0.359497273,1.665808898,0.371591179,4.746502253,1.011715311,0.184397643,0.361868627,0.333649514,0.240929571,1.38464143,0.778989803,0.375770299,0.138078147
"288","c-SC-m",0.739176721,0.361603974,1.582972487,0.361249113,4.813697658,0.960229165,0.179601625,0.353442158,0.344570617,0.249231133,1.424155619,0.764135321,0.359336487,0.143561388
